prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
3,0,6,138.2950254,6.339,6.654087782,0.0058,0.0582,20.4088,61.8,0.659853333,False,False,False,106.9569164,0.001140703,0.2127674252328986,0.0,18.9733,21.8443,0.0613,6.2777,78,600,18.9733,21.8443,0.10070043306541789,0.40914169591169514,0.2127674252328986,6.339
5,0,6,138.8936838,6.3453,6.670486689,0.0057,0.0559,20.52885,63.0,0.6578525,False,False,False,107.7963047,0.001134659,0.2180814050131682,0.0,19.1427,21.915,0.059,6.2863,84,600,19.1427,21.915,0.10166197371098869,0.4053648379775439,0.2180814050131682,6.3453
2,0,6,138.2629447,6.3506,6.679332018,0.0059,0.0601,20.3995,60.7,0.660008333,False,False,False,108.651134,0.001138884,0.207991717462592,0.0,18.9995,21.7995,0.0632,6.2874,90,600,18.9995,21.7995,0.10264120241476601,0.40800501414759494,0.207991717462592,6.3506
6,0,6,138.143597,6.3352,6.661099195,0.0054,0.0567,20.6908,62.2,0.655153333,False,False,False,107.0210716,0.001142639,0.21531762381281844,0.0,19.5545,21.8271,0.0596,6.2756,78,600,19.5545,21.8271,0.10077392447865859,0.4103514902466581,0.21531762381281844,6.3351999999999995
7,0,6,138.6332694,6.3497,6.679589748,0.0058,0.0557,20.8549,61.6,0.652418333,False,False,False,107.7216077,0.001136003,0.21124259036720816,0.0,19.8583,21.8515,0.0588,6.2909,84,600,19.8583,21.8515,0.10157640639774143,0.40620469520181574,0.21124259036720816,6.3496999999999995
8,0,6,138.7903536,6.3342,6.653752804,0.0057,0.0555,21.08205,61.9,0.6486325,False,False,False,107.0379674,0.001137494,0.21260852250566023,0.0,20.2372,21.9269,0.0586,6.2756,78,600,20.2372,21.9269,0.10079327904726462,0.4071364118099923,0.21260852250566023,6.3342
9,0,6,138.6899567,6.3322,6.660778761,0.0055,0.0551,21.2836,63.7,0.645273333,False,False,False,107.0717749,0.001138677,0.2221142500203449,0.0,20.6533,21.9139,0.0581,6.2741,78,600,20.6533,21.9139,0.10083200639833102,0.4078756611376067,0.2221142500203449,6.332199999999999
1,0,7,141.4341648,6.4754,6.803655386,0.0064,0.0673,20.3641,61.8,0.660598333,False,False,False,121.0735829,0.00109189,0.21198022753334403,0.0,18.8534,21.8748,0.0708,6.4046,84,700,18.8534,21.8748,0.11687143356628014,0.37863875641141015,0.21198022753334403,6.4754000000000005
4,0,6,140.1259084,6.3985,6.718252897,0.0057,0.072,21.22105,62.0,0.646315833,False,False,False,114.401795,0.00111533,0.2133831605246732,0.0,20.526,21.9161,0.075,6.3235,132,600,20.526,21.9161,0.10922873084517054,0.3932862663347232,0.2133831605246732,6.3985
0,0,7,141.4915201,6.4935,6.812972784,0.0063,0.0896,20.4172,61.3,0.659713333,False,False,False,122.892104,0.001088406,0.21036959166572278,0.0,19.0043,21.8301,0.0928,6.4007,98,700,19.0043,21.8301,0.11895459573625339,0.37646162652349113,0.21036959166572278,6.493499999999999
