prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric.1,reward,early_exit_layer,avg_entropy
10,4,32,150.40191555,4.5777,5.098820209503174,0.0131,0.0834,28.40775,91.41345,0.5265375,False,False,False,810.88738648505,0.0014524436896968,0.8736839225016811,0.0,23.784,33.0315,0.0872,4.4905,512,3200,23.784,33.0315,0.8736839225016811,True,109.66024753000002,432.19771724,0.8794717743765603,0.6565201654715829,0.8736839225016811,0.8736839225016811,8,6.6526
10,4,26,141.50985052,4.3893,4.908792734146118,0.0114,0.0765,29.56535,91.9247,0.5072441666666667,False,False,False,698.9723420653994,0.0016099710325981,0.9012530140493858,0.0,26.7894,32.3413,0.0803,4.309,468,2600,26.7894,32.3413,0.9012530140493858,True,109.66024753000002,432.19771724,0.7569261686263192,0.7339933208401311,0.9012530140493858,0.9012530140493858,14,3.4811
10,4,16,129.5929227,4.3218000000000005,4.844789505004883,0.0084,0.0578,28.3407,91.96905,0.527655,False,False,False,433.1527527528453,0.0017854761340457,0.9382004354783278,0.0,26.6475,30.0339,0.0613,4.2605,272,1600,26.6475,30.0339,0.9382004354783278,True,109.66024753000002,432.19771724,0.4658569673271634,0.8203080757391308,0.9382004354783278,0.9382004354783278,4,8.6822
10,4,8,121.20558051,4.3343,4.8571882247924805,0.0056,0.0533,26.3274,91.8505,0.5612100000000001,False,False,False,210.4145512736656,0.0019035242564789,0.9642046767763738,0.0,24.6471,28.0077,0.056,4.2783,112,800,24.6471,28.0077,0.9642046767763738,True,109.66024753000002,432.19771724,0.2219613591403463,0.8783650477021436,0.9642046767763738,0.9642046767763738,4,8.4779
10,4,5,117.58412346,4.3167,4.841065645217896,0.0052,0.052,25.05755,91.6675,0.5823741666666666,False,False,False,132.04528180200575,0.0019701506931278,0.9754326964333028,0.0,22.8188,27.2963,0.0549,4.2618,70,500,22.8188,27.2963,0.9754326964333028,True,109.66024753000002,432.19771724,0.136147966942629,0.9111324402264076,0.9754326964333028,0.9754326964333028,4,8.8037
10,4,4,116.6168083,4.3089,4.830723524093628,0.0046,0.053,24.7345,91.81825,0.5877583333333334,False,False,False,112.32562549011918,0.0019900886964523,0.9784317748376498,0.0,22.343,27.126,0.0557,4.2532,84,400,22.343,27.126,0.9784317748376498,True,109.66024753000002,432.19771724,0.1145551843059597,0.920938103172612,0.9784317748376498,0.9784317748376498,4,8.4468
10,4,3,116.02321009,4.3226,4.837204217910767,0.004,0.0485,24.60505,91.9008,0.5899158333333333,False,False,False,77.03695066928452,0.0019939307581693,0.9802721756150654,0.0,22.3151,26.895,0.0509,4.2717,33,300,22.3151,26.895,0.9802721756150654,True,109.66024753000002,432.19771724,0.0759145166953846,0.9228276585910876,0.9802721756150654,0.9802721756150654,6,7.7994
10,4,2,114.67672419,4.3281,4.848750591278076,0.0037,0.0524,24.29235,91.90195,0.5951275,False,False,False,52.67899247268028,0.0020147790857231,0.984446840658512,0.0,22.0317,26.553,0.0547,4.2734,28,200,22.0317,26.553,0.984446840658512,True,109.66024753000002,432.19771724,0.0492428501869111,0.9330810259747968,0.984446840658512,0.984446840658512,4,8.7589
10,4,1,113.45885247999998,4.2826,4.791721820831299,0.0034,0.0551,24.06865,91.63075,0.5988558333333334,False,False,False,25.91882830083868,0.0020580413656965,0.9882227483417186,0.0,21.5773,26.56,0.0576,4.225,11,100,21.5773,26.56,0.9882227483417186,True,109.66024753000002,432.19771724,0.0199407974966794,0.9543577470585396,0.9882227483417186,0.9882227483417186,12,4.3305
10,3,32,157.55009847,5.2021,5.726022243499756,0.0131,0.1022,27.39455,91.82235,0.5434241666666666,False,False,False,738.163292100634,0.0012201202193408,0.8515215891565755,0.0,24.3804,30.4087,0.106,5.0961,640,3200,24.3804,30.4087,0.8515215891565755,True,109.66024753000002,432.19771724,0.7998397799008369,0.5422617009844162,0.8515215891565755,0.8515215891565755,6,7.6871
